script,arch,variant,mode,window_s,seed,fold,test_subjects,exercise_pw_f1,exercise_pw_balacc,exercise_ps_f1,exercise_ps_balacc,phase_f1,phase_balacc,fatigue_mae,fatigue_r,reps_mae,val_total,n_test_windows,n_test_sets,best_hps_json
sweep_raw,tcn_raw,raw,multi,2.0,1337,aggregate,,0.15000385305406463,0.19806274475201827,0.11407144077387903,0.18333333333333332,0.2776401595463115,0.3358147925240792,0.9873963119443643,0.27787091411513637,0.2615142693159537,0.21522599029112452,,,"{""lr"": 0.004992827411951447, ""weight_decay"": 6.067676372545571e-05, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.44238339254266307}"
sweep_raw,tcn_raw,raw,multi,1.0,42,aggregate,,0.16667009110884956,0.22393229705106665,0.14251003649287403,0.2333333333333333,0.24056507599164112,0.3355131647610873,0.9468554444393718,0.33668478966522253,0.13262031627417042,-0.2897203234201111,,,"{""lr"": 0.004961564128501609, ""weight_decay"": 1.1286551377492831e-06, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.451845570690605}"
sweep_raw,tcn_raw,raw,multi,1.0,7,aggregate,,0.15448447632935522,0.2183507266880758,0.13124411820063991,0.2166666666666667,0.22497702487262314,0.3349939660886069,0.9442571499546153,0.3179553601099431,0.13083732803514664,-0.27849074876353813,,,"{""lr"": 0.004961564128501609, ""weight_decay"": 1.1286551377492831e-06, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.451845570690605}"
sweep_raw,tcn_raw,raw,multi,1.0,1337,aggregate,,0.16325162510100105,0.21520964810589033,0.1307679784509659,0.20833333333333334,0.25614561119552076,0.335355470194537,0.9655042656377809,0.28056007983269515,0.1334684248659149,-0.25622338172363185,,,"{""lr"": 0.004961564128501609, ""weight_decay"": 1.1286551377492831e-06, ""batch_size"": 128, ""repr_dim"": 64, ""dropout"": 0.451845570690605}"
sweep_raw,tcn_raw,raw,multi,5.0,42,aggregate,,0.1383710397972681,0.1967680796698875,0.1108572683355292,0.1833333333333333,0.25668853366128885,0.339117205663305,1.0431919791556148,0.24210289163483073,0.6418575246111488,1.088129869520879,,,"{""lr"": 0.0018639849514366486, ""weight_decay"": 2.4142096469713284e-05, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.3383928569352612}"
sweep_raw,tcn_raw,raw,multi,5.0,7,aggregate,,0.11980734220799479,0.204296953453931,0.09633492777420813,0.20833333333333331,0.25111330156450434,0.3349404039145806,0.9846950677717159,0.23771003970867916,0.6514793971726798,1.0816549336388621,,,"{""lr"": 0.0018639849514366486, ""weight_decay"": 2.4142096469713284e-05, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.3383928569352612}"
sweep_raw,tcn_raw,raw,multi,5.0,1337,aggregate,,0.21096571284882276,0.2608291336887534,0.21139054422368647,0.275,0.24759696764436362,0.3267553503090905,1.043834527536451,0.2057089715851968,0.6494223889862504,1.0840808616045277,,,"{""lr"": 0.0018639849514366486, ""weight_decay"": 2.4142096469713284e-05, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.3383928569352612}"
sweep_raw,tcn_raw,raw,exercise,2.0,42,aggregate,,0.23766973549004242,0.2801668031820513,0.18513723690497147,0.275,,,,,,0.6437024015350361,,,"{""lr"": 0.0002516798641104402, ""weight_decay"": 0.0006361406955985214, ""batch_size"": 64, ""repr_dim"": 256, ""dropout"": 0.12842105402527898}"
sweep_raw,tcn_raw,raw,exercise,2.0,7,aggregate,,0.1510001273884461,0.22140538838399423,0.13586335403726707,0.2333333333333333,,,,,,0.6675676103563575,,,"{""lr"": 0.0002516798641104402, ""weight_decay"": 0.0006361406955985214, ""batch_size"": 64, ""repr_dim"": 256, ""dropout"": 0.12842105402527898}"
sweep_raw,tcn_raw,raw,exercise,2.0,1337,aggregate,,0.17243396562929433,0.24613964374324065,0.17112397251870937,0.275,,,,,,0.6677304250152918,,,"{""lr"": 0.0002516798641104402, ""weight_decay"": 0.0006361406955985214, ""batch_size"": 64, ""repr_dim"": 256, ""dropout"": 0.12842105402527898}"
sweep_raw,tcn_raw,raw,exercise,1.0,42,aggregate,,0.22074593958954103,0.2716617710853006,0.16289904290279106,0.2583333333333333,,,,,,0.6525623273275782,,,"{""lr"": 0.00010838581269344756, ""weight_decay"": 0.00757947995334801, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.21649165607921678}"
sweep_raw,tcn_raw,raw,exercise,1.0,7,aggregate,,0.14725038180038602,0.23182732170836168,0.12249358974358975,0.25,,,,,,0.6610579130090459,,,"{""lr"": 0.00010838581269344756, ""weight_decay"": 0.00757947995334801, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.21649165607921678}"
sweep_raw,tcn_raw,raw,exercise,1.0,1337,aggregate,,0.19458978488856213,0.24416202127257502,0.18466337583984643,0.2666666666666667,,,,,,0.6580391356358524,,,"{""lr"": 0.00010838581269344756, ""weight_decay"": 0.00757947995334801, ""batch_size"": 32, ""repr_dim"": 128, ""dropout"": 0.21649165607921678}"
sweep_raw,tcn_raw,raw,exercise,5.0,42,aggregate,,0.16441166818131894,0.22801247041942146,0.1486921411921412,0.225,,,,,,0.6517724392692761,,,"{""lr"": 0.0009257588632502828, ""weight_decay"": 0.003676093847940854, ""batch_size"": 64, ""repr_dim"": 256, ""dropout"": 0.32474733282999146}"
sweep_raw,tcn_raw,raw,exercise,5.0,7,aggregate,,0.15268223631250427,0.2360872233428891,0.12058760683760686,0.2333333333333333,,,,,,0.66126750469858,,,"{""lr"": 0.0009257588632502828, ""weight_decay"": 0.003676093847940854, ""batch_size"": 64, ""repr_dim"": 256, ""dropout"": 0.32474733282999146}"
sweep_raw,tcn_raw,raw,exercise,5.0,1337,aggregate,,0.15453493170608296,0.2412443898424999,0.1189649189286213,0.2416666666666667,,,,,,0.6583800728145883,,,"{""lr"": 0.0009257588632502828, ""weight_decay"": 0.003676093847940854, ""batch_size"": 64, ""repr_dim"": 256, ""dropout"": 0.32474733282999146}"
sweep_raw,tcn_raw,raw,phase,2.0,42,aggregate,,,,,,0.2705553529420153,0.3453077179216077,,,,-0.024359383331997227,,,"{""lr"": 0.00493641030332193, ""weight_decay"": 2.0122510229412164e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4544883026859418}"
sweep_raw,tcn_raw,raw,phase,2.0,7,aggregate,,,,,,0.30973906328972933,0.34908945292891225,,,,-0.02124821304255891,,,"{""lr"": 0.00493641030332193, ""weight_decay"": 2.0122510229412164e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4544883026859418}"
sweep_raw,tcn_raw,raw,phase,2.0,1337,aggregate,,,,,,0.2558401299777496,0.3435317661990819,,,,-0.021807362612488067,,,"{""lr"": 0.00493641030332193, ""weight_decay"": 2.0122510229412164e-06, ""batch_size"": 256, ""repr_dim"": 64, ""dropout"": 0.4544883026859418}"
