arch,window_s,modality_dropped,full_exercise_f1,dropped_exercise_f1,delta_exercise_f1,full_phase_f1,dropped_phase_f1,delta_phase_f1,full_fatigue_mae,dropped_fatigue_mae,delta_fatigue_mae_lower_better,full_reps_mae,dropped_reps_mae,delta_reps_mae_lower_better
lstm,5,ppg,0.12323075042027165,0.12323075042027165,0.0,0.2168465185467513,0.2168465185467513,0.0,1.090888174653937,1.1075730463111664,-0.016684871657229428,0.2170782260857292,0.21695728198774375,0.00012094409798543704
lstm,5,temp,0.12323075042027165,0.12323075042027165,0.0,0.2168465185467513,0.2168465185467513,0.0,1.090888174653937,1.1120855532532572,-0.02119737859932025,0.2170782260857292,0.2168380521832652,0.00024017390246397485
mlp,1,acc,0.5585988620242992,0.35377394086204006,-0.20482492116225914,0.3463945351532161,0.3312083487375966,-0.01518618641561953,1.1673874337466494,1.155706098982303,0.011681334764346518,0.16012563398608842,0.21369405127973476,-0.053568417293646337
mlp,1,emg,0.5585988620242992,0.5163760751403556,-0.04222278688394365,0.3463945351532161,0.32972169740704044,-0.016672837746175673,1.1673874337466494,1.153786464344153,0.013600969402496332,0.16012563398608842,0.21021423695866007,-0.050088602972571644
mlp,1,ppg,0.5585988620242992,0.5162793789984347,-0.042319483025864524,0.3463945351532161,0.3391503444743495,-0.007244190678866613,1.1673874337466494,1.180584614130437,-0.013197180383787588,0.16012563398608842,0.20904796065984083,-0.0489223266737524
mlp,1,temp,0.5585988620242992,0.5590501892512217,0.0004513272269225377,0.3463945351532161,0.34494823537773756,-0.0014462997754785545,1.1673874337466494,1.1610093626156226,0.006378071131026841,0.16012563398608842,0.2063569366610003,-0.04623130267491188
mlp,2,acc,0.5295044619130969,0.3485971207974275,-0.18090734111566936,0.33970229929273177,0.3287410473388449,-0.010961251953886864,1.2355561193695688,1.2322572673412457,0.0032988520283230294,0.1684700128301169,0.21238535980610612,-0.04391534697598923
mlp,2,emg,0.5295044619130969,0.5283999522871433,-0.0011045096259535425,0.33970229929273177,0.3247160897970565,-0.014986209495675251,1.2355561193695688,1.236824684372405,-0.0012685650028361195,0.1684700128301169,0.21094349137313737,-0.04247347854302047
mlp,2,ppg,0.5295044619130969,0.5282017404302078,-0.0013027214828890132,0.33970229929273177,0.33304268234858686,-0.006659616944144908,1.2355561193695688,1.2374609202898066,-0.0019048009202378147,0.1684700128301169,0.21206034121427778,-0.04359032838416088
mlp,2,temp,0.5295044619130969,0.5514512961732788,0.021946834260181958,0.33970229929273177,0.34253521298950995,0.002832913696778183,1.2355561193695688,1.2498242936819608,-0.014268174312392023,0.1684700128301169,0.20866539161714376,-0.040195378787026864
mlp,5,acc,0.5288761604260032,0.34825054017473894,-0.18062562025126422,0.34527709269445594,0.32706537578721845,-0.018211716907237496,1.2972554453972711,1.2785993146225594,0.018656130774711732,0.19825773958223422,0.21935201815633007,-0.02109427857409585
mlp,5,emg,0.5288761604260032,0.507811618755569,-0.021064541670434145,0.34527709269445594,0.3328264329265208,-0.012450659767935135,1.2972554453972711,1.2782771312336372,0.018978314163633936,0.19825773958223422,0.21670405503447665,-0.01844631545224243
mlp,5,ppg,0.5288761604260032,0.5094197891324143,-0.019456371293588903,0.34527709269445594,0.35063602039289876,0.005358927698442817,1.2972554453972711,1.283684689656403,0.01357075574086819,0.19825773958223422,0.21805104287171242,-0.019793303289478203
mlp,5,temp,0.5288761604260032,0.5253155864426542,-0.003560573983348969,0.34527709269445594,0.34813949291360813,0.0028624002191521836,1.2972554453972711,1.293554857978794,0.0037005874184770082,0.19825773958223422,0.21526416802112938,-0.01700642843889516
