script,arch,variant,mode,window_s,seed,fold,test_subjects,exercise_pw_f1,exercise_pw_balacc,exercise_ps_f1,exercise_ps_balacc,phase_f1,phase_balacc,fatigue_mae,fatigue_r,reps_mae,val_total,n_test_windows,n_test_sets,best_hps_json
sweep_raw,cnn1d_raw,raw,multi,1.0,42,2,Juile|lucas 2,0.37098667312345845,0.36208126553104186,0.4956140350877193,0.4583333333333333,0.3399451726608496,0.3593402145314714,0.905217134691849,0.45951294304319273,0.10994078261583964,-0.08307643723535253,1509,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,42,3,Hytten|lucas,0.23457236400763315,0.3181555060433648,0.29835164835164835,0.4166666666666667,0.33514144065325163,0.35333005364630915,1.1113775712025316,-0.032970302914234,0.15282228620174138,0.35382084669730546,1106,20,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,42,4,Vivian|kiyomi,0.3096085008478715,0.31658945326215654,0.364520202020202,0.375,0.35446920001444776,0.3644287795479111,0.7136791415284063,0.35556169573529695,0.10986079823257577,-0.02031380294734596,1989,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,7,0,Tias|sivert,0.11473240144789287,0.1878585943103036,0.10344827586206896,0.25,0.30943362021690757,0.32216379230480424,0.9948777119824841,0.5757827711570523,0.17022902673113333,0.21729604301938585,1256,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,7,1,Raghild|michael,0.21654405134386695,0.2961399211121798,0.19871794871794873,0.3125,0.25726308865591413,0.3374607766774229,1.3773219369948568,0.12258608206779983,0.14371490063783846,0.8394816435057831,1361,22,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,7,2,Juile|lucas 2,0.371179902047996,0.3605845593493584,0.3630952380952381,0.375,0.36691665265399925,0.3757640153815018,0.8682514289264414,0.4787478320926392,0.10944728457694164,-0.12343385821545337,1509,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,7,3,Hytten|lucas,0.2515370435773878,0.3189480089628992,0.3672619047619048,0.5,0.33289352157276686,0.35467004005903435,1.237204029159132,-0.00046309312605358633,0.12870367137900446,0.3457337272964809,1106,20,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,7,4,Vivian|kiyomi,0.34345133582547105,0.3471034165121147,0.39577497665732964,0.37499999999999994,0.3362656540667012,0.3641562103482307,0.7937857434640523,0.30618483015132436,0.1127337728270698,-0.00945221880322548,1989,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,1337,0,Tias|sivert,0.37086144383627223,0.38193386718920946,0.4173076923076923,0.45833333333333337,0.21215986394557826,0.3333333333333333,0.9713717904060509,0.5399887727318241,0.180178588509091,0.2324483159241403,1256,24,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
sweep_raw,cnn1d_raw,raw,multi,1.0,1337,1,Raghild|michael,0.2214778295210043,0.2812598278037073,0.19871794871794873,0.3125,0.29308022939667044,0.3500419123919736,1.3660394470977222,0.13321437103263611,0.1316376947096358,0.8054309119029048,1361,22,"{""lr"": 0.004625580882989839, ""weight_decay"": 2.698892625659761e-05, ""batch_size"": 32, ""repr_dim"": 64, ""dropout"": 0.43192414815047653}"
