run_name,variant,target_task,arch,window_s,n_fold_seeds,val_total_mean,val_total_std,exercise_trained,exercise_f1_macro_mean,exercise_f1_macro_std,exercise_balanced_accuracy_mean,exercise_balanced_accuracy_std,phase_trained,phase_f1_macro_mean,phase_f1_macro_std,phase_balanced_accuracy_mean,phase_balanced_accuracy_std,fatigue_trained,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_r_mean,fatigue_pearson_r_std,reps_trained,reps_mae_mean,reps_mae_std
v20_st-fatigue-w1s-tcn_raw,st,fatigue,tcn_raw,1.0,30,0.47237399544093595,0.10266235648167074,0,,,,,0,,,,,1,0.9186882745917643,0.2335978171647784,0.3342119929058321,0.2841807781541446,0,,
v20_st-fatigue-w2s-cnn1d_raw,st,fatigue,cnn1d_raw,2.0,30,0.488780534581438,0.11710244375992183,0,,,,,0,,,,,1,0.969450414456173,0.2585328031405868,0.31427047297749383,0.33579111326905614,0,,
v20_st-fatigue-w2s-cnn_lstm_raw,st,fatigue,cnn_lstm_raw,2.0,30,0.4584978942886402,0.08389134073677457,0,,,,,0,,,,,1,0.9084410987041941,0.1806239458066773,0.23725904411294277,0.34131133009273407,0,,
v20_st-fatigue-w2s-lstm_raw,st,fatigue,lstm_raw,2.0,30,0.46454955392211694,0.09026531774913567,0,,,,,0,,,,,1,0.9221842990853047,0.19159110247990244,0.12979415381266188,0.28345436541221664,0,,
v20_st-fatigue-w2s-tcn_raw,st,fatigue,tcn_raw,2.0,30,0.47815789712215256,0.10300852569164802,0,,,,,0,,,,,1,0.9139052862229721,0.2613547784736042,0.3023222933619687,0.3430157877211149,0,,
v20_st-fatigue-w5s-cnn1d_raw,st,fatigue,cnn1d_raw,5.0,30,0.5035303970177968,0.1358707772948471,0,,,,,0,,,,,1,1.0058302039258586,0.28373326973982,0.23919328451569158,0.3609354710302892,0,,
v20_st-fatigue-w5s-cnn_lstm_raw,st,fatigue,cnn_lstm_raw,5.0,30,0.4527592102686564,0.07762281251137483,0,,,,,0,,,,,1,0.8988779731917951,0.16401507341953198,0.21774985275971293,0.3252478362913898,0,,
v20_st-fatigue-w5s-lstm_raw,st,fatigue,lstm_raw,5.0,30,0.45205774704615276,0.07385521104057324,0,,,,,0,,,,,1,0.8921772773005393,0.16069460097847998,0.11146356539131988,0.3248057308721116,0,,
v20_st-fatigue-w5s-tcn_raw,st,fatigue,tcn_raw,5.0,30,0.4751740028460821,0.09398739732175064,0,,,,,0,,,,,1,0.9229251688372819,0.22668947802255887,0.2987466298497819,0.35145604379496814,0,,
v20_st-phase-w1s-cnn1d_raw,st,phase,cnn1d_raw,1.0,30,0.1545570895012813,0.09669465150748263,0,,,,,1,0.3613654471236102,0.03819867911298352,0.3727798495332369,0.033790992289702344,0,,,,,0,,
v20_st-phase-w1s-cnn_lstm_raw,st,phase,cnn_lstm_raw,1.0,30,0.144731348360775,0.09540473589626,0,,,,,1,0.37880223182503076,0.0319630433409297,0.3897984881779036,0.027290792754966237,0,,,,,0,,
v20_st-phase-w1s-lstm_raw,st,phase,lstm_raw,1.0,30,0.16811198612501077,0.11881419933331218,0,,,,,1,0.33312291031819463,0.047978255690674904,0.3594336881417867,0.029143792888929827,0,,,,,0,,
v20_st-phase-w1s-tcn_raw,st,phase,tcn_raw,1.0,30,0.15319412509778846,0.10386480345648096,0,,,,,1,0.36455843590411213,0.03903207042910103,0.3756857645505611,0.034608054312353746,0,,,,,0,,
v20_st-phase-w2s-cnn1d_raw,st,phase,cnn1d_raw,2.0,30,-0.02346962032614713,0.13882848877321174,0,,,,,1,0.3398098156892825,0.04530145003285128,0.36061806854905815,0.033497392133326344,0,,,,,0,,
v20_st-phase-w2s-cnn_lstm_raw,st,phase,cnn_lstm_raw,2.0,30,-0.02815229599763242,0.1429853346470872,0,,,,,1,0.3458991305699521,0.03740292937717325,0.3674673311738633,0.03273198517170995,0,,,,,0,,
v20_st-phase-w2s-lstm_raw,st,phase,lstm_raw,2.0,30,-0.03167379976052406,0.09066059211812091,0,,,,,1,0.27096697385921814,0.058528033635707716,0.3458252315344848,0.022929672088983912,0,,,,,0,,
v20_st-phase-w2s-tcn_raw,st,phase,tcn_raw,2.0,30,-0.017969384288360014,0.1521558596676828,0,,,,,1,0.35144098157731507,0.031146549633489434,0.3720271922919706,0.023883634781322965,0,,,,,0,,
v20_st-phase-w5s-cnn1d_raw,st,phase,cnn1d_raw,5.0,30,-0.11233594715595245,0.11540069223859964,0,,,,,1,0.43672233960931,0.0902446775357631,0.45727410551030656,0.07606780671952369,0,,,,,0,,
v20_st-phase-w5s-cnn_lstm_raw,st,phase,cnn_lstm_raw,5.0,30,-0.0925430566072464,0.101187742753012,0,,,,,1,0.4110156475769536,0.09480290430687474,0.4368269089099566,0.0682141391364766,0,,,,,0,,
v20_st-phase-w5s-lstm_raw,st,phase,lstm_raw,5.0,30,-0.0654308299223582,0.05607175965274534,0,,,,,1,0.2553996654789936,0.055105671156127654,0.34104085544510815,0.026865142234354513,0,,,,,0,,
v20_st-phase-w5s-tcn_raw,st,phase,tcn_raw,5.0,30,-0.06252582172552744,0.06153586128645641,0,,,,,1,0.22509082547160109,0.057196991355945595,0.33834258641284704,0.017830584418717824,0,,,,,0,,
v20_st-reps-w1s-cnn1d_raw,st,reps,cnn1d_raw,1.0,30,-1.8021243051011382,0.17163841937875327,0,,,,,0,,,,,0,,,,,1,0.10393731372009372,0.016509087317848236
v20_st-reps-w1s-cnn_lstm_raw,st,reps,cnn_lstm_raw,1.0,30,-1.794098631420989,0.16020807021354264,0,,,,,0,,,,,0,,,,,1,0.10657560786056183,0.01652977881819168
v20_st-reps-w1s-lstm_raw,st,reps,lstm_raw,1.0,30,-1.7572066702852422,0.15131013192179543,0,,,,,0,,,,,0,,,,,1,0.11125223607435517,0.022556911236080064
v20_st-reps-w1s-tcn_raw,st,reps,tcn_raw,1.0,30,-1.8013348914258427,0.16607685251791543,0,,,,,0,,,,,0,,,,,1,0.10427671398166617,0.01656818910425463
v20_st-reps-w2s-cnn1d_raw,st,reps,cnn1d_raw,2.0,30,-1.2571801830035934,0.15011038335642463,0,,,,,0,,,,,0,,,,,1,0.18514009403306492,0.030484048673215473
v20_st-reps-w2s-cnn_lstm_raw,st,reps,cnn_lstm_raw,2.0,30,-1.2200801536795125,0.14220655685654127,0,,,,,0,,,,,0,,,,,1,0.19591612797843436,0.03242599563673632
v20_st-reps-w2s-lstm_raw,st,reps,lstm_raw,2.0,30,-1.1403950287534534,0.13005062754261862,0,,,,,0,,,,,0,,,,,1,0.21359522382011864,0.04072228253719259
v20_st-reps-w2s-tcn_raw,st,reps,tcn_raw,2.0,30,-1.2078790150377914,0.13078646745764416,0,,,,,0,,,,,0,,,,,1,0.19497593341638478,0.028170866506524252
v20_st-reps-w5s-cnn1d_raw,st,reps,cnn1d_raw,5.0,30,-0.5058160245418548,0.169322519353563,0,,,,,0,,,,,0,,,,,1,0.39027149127504823,0.07979675215600263
v20_st-reps-w5s-cnn_lstm_raw,st,reps,cnn_lstm_raw,5.0,30,-0.510928147037824,0.15365687884449217,0,,,,,0,,,,,0,,,,,1,0.3884465619172488,0.08167224579769897
v20_st-reps-w5s-lstm_raw,st,reps,lstm_raw,5.0,30,-0.3029137194156647,0.14835460667219977,0,,,,,0,,,,,0,,,,,1,0.5158536801596452,0.11977230182294757
v20_st-reps-w5s-tcn_raw,st,reps,tcn_raw,5.0,30,-0.30894691149393716,0.14741476470093964,0,,,,,0,,,,,0,,,,,1,0.5188951215154728,0.1112631697846766
