pipeline,category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,phase_f1_mean,phase_f1_std,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,reps_mae_mean,reps_mae_std,val_total_mean,val_total_std
v17_features,ablation,v17abl-drop_temp-lstm-w1s,lstm,features,1,all 4,temp,LOSO 10-fold,10,3,0.15094605074809633,0.07660291248344954,0.22315020263638558,0.026062448738066502,1.0450898070195636,0.29110855075087866,-0.1016092415656049,0.13350718727783825,0.21131000063404723,0.040277085984465104,-0.1659057168491119,0.31552339654940004
v17_features,ablation,v17abl-drop_temp-lstm-w2s,lstm,features,2,all 4,temp,LOSO 10-fold,10,3,0.12406587511156739,0.014410799460321953,0.22189590847852753,0.016456955278037692,0.9913304440063514,0.25335129642567306,-0.16932819418672979,0.10524077010040431,0.209834722323782,0.0385898970921859,-0.2064185555137095,0.2518112764564805
v17_features,ablation,v17abl-drop_temp-lstm-w5s,lstm,features,5,all 4,temp,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,0.2168465185467513,0.016026714712923693,1.1120855532532572,0.24701987815387125,-0.17476054267758007,0.12260049196201556,0.2168380521832652,0.04762602880704261,0.15834908882776896,0.12918057879937933
v17_features,ablation,v17abl-drop_temp-mlp-w1s,mlp,features,1,all 4,temp,LOSO 10-fold,10,3,0.5590501892512217,0.13308197972468302,0.34494823537773756,0.033766479709947096,1.1610093626156226,0.23515186003702715,0.008419314432935452,0.11913029664965483,0.2063569366610003,0.03545013868948369,-0.2927197251417602,0.35539465883111987
v17_features,ablation,v17abl-drop_temp-mlp-w2s,mlp,features,2,all 4,temp,LOSO 10-fold,10,3,0.5514512961732788,0.12772334845951683,0.34253521298950995,0.02815632818281164,1.2498242936819608,0.2754548253796671,0.02372164266258361,0.13282768343992285,0.20866539161714376,0.03678572993477778,-0.2678989143347116,0.2891109642568368
v17_features,ablation,v17abl-drop_temp-mlp-w5s,mlp,features,5,all 4,temp,LOSO 10-fold,10,3,0.5253155864426542,0.12178776950175572,0.34813949291360813,0.036905435216196714,1.293554857978794,0.2746470668287796,0.024668770841225034,0.16639032480017593,0.21526416802112938,0.04505955271496693,-0.025657413403193156,0.20570927556086865
v17_features,multi-task,v17multi-lstm-w1s,lstm,features,1,all 4,none,LOSO 10-fold,10,3,0.3187019965610799,0.10925486257936218,0.3111505026840414,0.0567309440808306,1.1004705749872197,0.2749594833014377,0.23590160274609412,0.21973265018918944,0.15667698497697685,0.056058947903192775,-0.4835059701357606,0.37021205584999395
v17_features,multi-task,v17multi-lstm-w2s,lstm,features,2,all 4,none,LOSO 10-fold,10,3,0.33232039909993305,0.08274879085480366,0.3304256189741132,0.03418988221724683,0.9948676396036856,0.21864704717619693,0.2696941213691803,0.20484180086887044,0.14518406591177843,0.05177610584722476,-0.585674460229847,0.26473738269989494
v17_features,multi-task,v17multi-lstm-w5s,lstm,features,5,all 4,none,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,0.2168465185467513,0.016026714712923693,1.090888174653937,0.2544890917350506,0.20534430856726643,0.18868116568124693,0.2170782260857292,0.04740320565144669,0.1518175224463145,0.13075782969217986
v17_features,multi-task,v17multi-mlp-w1s,mlp,features,1,all 4,none,LOSO 10-fold,10,3,0.5585988620242992,0.14756011824458953,0.3463945351532161,0.030073321622749043,1.1673874337466494,0.2189332558801741,0.277975948231947,0.21959264126825792,0.16012563398608842,0.04288916278427598,-0.45007557373273127,0.439836317864453
v17_features,multi-task,v17multi-mlp-w2s,mlp,features,2,all 4,none,LOSO 10-fold,10,3,0.5295044619130969,0.13749491439993394,0.33970229929273177,0.03360769450903416,1.2355561193695688,0.2360468040739035,0.2248552869472465,0.17452054632988287,0.1684700128301169,0.04846797473504648,-0.46059087110487545,0.290007723356827
v17_features,multi-task,v17multi-mlp-w5s,mlp,features,5,all 4,none,LOSO 10-fold,10,3,0.5288761604260032,0.14176234287393197,0.34527709269445594,0.042542533168433705,1.2972554453972711,0.22437940682816992,0.17910625815438763,0.18172233043494299,0.19825773958223422,0.04800973176325787,-0.007774356007575989,0.22874008690004377
v17_features,single-task,v17single-exercise-mlp-w1s,mlp,features,1,exercise,none,LOSO 10-fold,10,3,0.5498076412892189,0.15546975741936123,,,,,,,,,0.4949444114289786,0.10775070108947266
v17_features,single-task,v17single-fatigue-lstm-w2s,lstm,features,2,fatigue,none,LOSO 10-fold,10,3,,,,,0.9163363181864314,0.1906895996931668,0.14210860253242064,0.1573318410110087,,,0.4634904516048921,0.08752325783129361
