category,slug,arch,variant,window_s,tasks,modality_dropped,cv_scheme,n_folds,n_seeds,exercise_f1_mean,exercise_f1_std,exercise_n,phase_f1_mean,phase_f1_std,phase_n,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,fatigue_n,reps_mae_mean,reps_mae_std,reps_n,val_total_mean,val_total_std,hp_lr,hp_dropout,hp_repr_dim,hp_weight_decay,hp_batch_size,hp_extra
ablation,v17abl-drop_temp-mlp-w1s,mlp,features,1,all 4,temp,LOSO 10-fold,10,3,0.5590501892512217,0.13308197972468302,30,0.34494823537773756,0.033766479709947096,30,1.1610093626156226,0.23515186003702715,0.008419314432935452,0.11913029664965483,30,0.2063569366610003,0.03545013868948369,30,-0.2927197251417602,0.35539465883111987,0.0024046541719757414,0.4030055322691992,64,0.0002181476167250017,128,"{""hidden_dim"": 32}"
ablation,v17abl-drop_temp-mlp-w2s,mlp,features,2,all 4,temp,LOSO 10-fold,10,3,0.5514512961732788,0.12772334845951683,30,0.34253521298950995,0.02815632818281164,30,1.2498242936819608,0.2754548253796671,0.02372164266258361,0.13282768343992285,30,0.20866539161714376,0.03678572993477778,30,-0.2678989143347116,0.2891109642568368,0.0028046390868500695,0.4828866027461608,64,0.009884157497089997,128,"{""hidden_dim"": 16}"
ablation,v17abl-drop_temp-mlp-w5s,mlp,features,5,all 4,temp,LOSO 10-fold,10,3,0.5253155864426542,0.12178776950175572,30,0.34813949291360813,0.036905435216196714,30,1.293554857978794,0.2746470668287796,0.024668770841225034,0.16639032480017593,30,0.21526416802112938,0.04505955271496693,30,-0.025657413403193156,0.20570927556086865,0.0029911670450084023,0.36455305739362126,32,0.005508560556531181,128,"{""hidden_dim"": 16}"
multi-task,v17multi-lstm-w1s,lstm,features,1,all 4,none,LOSO 10-fold,10,3,0.3187019965610799,0.10925486257936218,30,0.3111505026840414,0.0567309440808306,30,1.1004705749872197,0.2749594833014377,0.23590160274609412,0.21973265018918944,30,0.15667698497697685,0.056058947903192775,30,-0.4835059701357606,0.37021205584999395,0.002469645860806916,0.32470612581272046,16,0.0009555267918374677,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
multi-task,v17multi-lstm-w2s,lstm,features,2,all 4,none,LOSO 10-fold,10,3,0.33232039909993305,0.08274879085480366,30,0.3304256189741132,0.03418988221724683,30,0.9948676396036856,0.21864704717619693,0.2696941213691803,0.20484180086887044,30,0.14518406591177843,0.05177610584722476,30,-0.585674460229847,0.26473738269989494,0.002540841516629235,0.3193249335810906,64,0.005263820110984335,128,"{""lstm_hidden"": 32, ""lstm_layers"": 1}"
multi-task,v17multi-lstm-w5s,lstm,features,5,all 4,none,LOSO 10-fold,10,3,0.12323075042027165,0.01452147285852397,30,0.2168465185467513,0.016026714712923693,30,1.090888174653937,0.2544890917350506,0.20534430856726643,0.18868116568124693,30,0.2170782260857292,0.04740320565144669,30,0.1518175224463145,0.13075782969217986,0.00253463522317991,0.33358838332136576,32,0.001947579945525273,128,"{""lstm_hidden"": 8, ""lstm_layers"": 1}"
multi-task,v17multi-mlp-w1s,mlp,features,1,all 4,none,LOSO 10-fold,10,3,0.5585988620242992,0.14756011824458953,30,0.3463945351532161,0.030073321622749043,30,1.1673874337466494,0.2189332558801741,0.277975948231947,0.21959264126825792,30,0.16012563398608842,0.04288916278427598,30,-0.45007557373273127,0.439836317864453,0.0024046541719757414,0.4030055322691992,64,0.0002181476167250017,128,"{""hidden_dim"": 32}"
multi-task,v17multi-mlp-w2s,mlp,features,2,all 4,none,LOSO 10-fold,10,3,0.5295044619130969,0.13749491439993394,30,0.33970229929273177,0.03360769450903416,30,1.2355561193695688,0.2360468040739035,0.2248552869472465,0.17452054632988287,30,0.1684700128301169,0.04846797473504648,30,-0.46059087110487545,0.290007723356827,0.0028046390868500695,0.4828866027461608,64,0.009884157497089997,128,"{""hidden_dim"": 16}"
multi-task,v17multi-mlp-w5s,mlp,features,5,all 4,none,LOSO 10-fold,10,3,0.5288761604260032,0.14176234287393197,30,0.34527709269445594,0.042542533168433705,30,1.2972554453972711,0.22437940682816992,0.17910625815438763,0.18172233043494299,30,0.19825773958223422,0.04800973176325787,30,-0.007774356007575989,0.22874008690004377,0.0029911670450084023,0.36455305739362126,32,0.005508560556531181,128,"{""hidden_dim"": 16}"
single-task,v17single-exercise-mlp-w1s,mlp,features,1,exercise,none,LOSO 10-fold,10,3,0.5498076412892189,0.15546975741936123,30,,,,,,,,,,,,0.4949444114289786,0.10775070108947266,0.002793665688875044,0.4122545821282005,8,0.00997302684768142,128,"{""hidden_dim"": 64}"
single-task,v17single-fatigue-lstm-w2s,lstm,features,2,fatigue,none,LOSO 10-fold,10,3,,,,,,,0.9163363181864314,0.1906895996931668,0.14210860253242064,0.1573318410110087,30,,,,0.4634904516048921,0.08752325783129361,0.0011341661093468294,0.31804443209794,64,0.003863104158401664,256,"{""lstm_hidden"": 64, ""lstm_layers"": 1}"
single-task,v17single-phase-mlp-w1s,mlp,features,1,phase,none,LOSO 10-fold,10,3,,,,0.3120263113656406,0.04846852224828531,30,,,,,,,,,-0.2775503539864416,0.1576791156234176,0.002800241448443584,0.4877993774479405,8,0.0011226915616131066,256,"{""hidden_dim"": 16}"
single-task,v17single-reps-lstm-w2s,lstm,features,2,reps,none,LOSO 10-fold,10,3,,,,,,,,,,,,0.15065596545377186,0.04922577459272015,30,-1.4535125224019605,0.19132932648236164,0.002581135167196646,0.47256297016300103,32,0.00266080451087994,128,"{""lstm_hidden"": 16, ""lstm_layers"": 1}"
