slug,seed,fold,test_subjects,val_total,exercise_f1,exercise_balanced_acc,exercise_n,phase_f1,phase_balanced_acc,phase_n,fatigue_mae,fatigue_pearson,fatigue_n,reps_mae,reps_n
v17abl-drop_emg-mlp-w5s,1337,7,,0.019300401210784912,0.35424836601307186,0.46255952380952375,117,0.3521716378859236,0.3546099290780142,95,1.1756143162393162,0.33278795504403424,117,0.2022651533616033,94
v17abl-drop_emg-mlp-w5s,1337,8,,-0.2337864637374878,0.6337346186451563,0.6634597020626433,150,0.3410500022302511,0.5121951219512195,150,1.1692447916666666,-0.29097543100567735,150,0.2172184384490053,150
v17abl-drop_emg-mlp-w5s,1337,9,,0.48221343755722046,0.3902812164310753,0.3894634160652467,249,0.3652834599649328,0.3672209624590577,234,1.2603852911646587,0.24434788760133017,249,0.24169092159318567,233
v17abl-drop_emg-mlp-w5s,42,0,,-0.25798797607421875,0.5209605151280654,0.5306284520077623,122,0.34744887419954557,0.5417564655172413,122,1.0776767418032787,0.019861086412759247,122,0.2509512306786463,122
v17abl-drop_emg-mlp-w5s,42,1,,-0.11613225936889648,0.688879316421021,0.6943849127237285,130,0.28549019607843135,0.2927318295739348,93,1.4986478365384615,0.1984788437670542,130,0.30824653071391844,92
v17abl-drop_emg-mlp-w5s,42,2,,0.07849222421646118,0.4264647683397683,0.47376272376272377,120,0.2506127450980392,0.271078431372549,75,1.9485677083333333,0.17764282398640296,120,0.18263359707654328,74
v17abl-drop_emg-mlp-w5s,42,3,,0.015832841396331787,0.3696838073887254,0.35596706393200295,147,0.2833333333333334,0.43213633597078516,115,1.2994260204081634,-0.11934292897649018,147,0.16443096535361332,115
v17abl-drop_emg-mlp-w5s,42,4,,-0.092307448387146,0.6590681729938748,0.6822934352009055,158,0.37346089113296127,0.3969901401141671,89,1.2893591772151898,0.18890808167022483,158,0.18583681197329002,88
v17abl-drop_emg-mlp-w5s,42,5,,-0.3135889172554016,0.6846449581498115,0.7155627100881197,146,0.34030144664091494,0.3611721611721612,136,1.0318921232876712,0.5824688436768456,146,0.1666093880655589,135
v17abl-drop_emg-mlp-w5s,42,6,,0.1398763656616211,0.41830870279146143,0.4527972027972028,101,0.3901107852720756,0.3943592281048986,91,1.1549543626237624,-0.1515460902028941,101,0.233872833641039,90
v17abl-drop_emg-mlp-w5s,42,7,,0.032950520515441895,0.3630050505050505,0.4758928571428571,117,0.3877551020408163,0.3900709219858156,95,1.175113514957265,0.3138403977212461,117,0.20455591965149691,94
v17abl-drop_emg-mlp-w5s,42,8,,-0.24611306190490723,0.635118306351183,0.6632368856633563,150,0.3640333047261996,0.5462697274031564,150,1.1176822916666667,-0.26987924962675963,150,0.21648827996104955,150
v17abl-drop_emg-mlp-w5s,42,9,,0.47321152687072754,0.3815554076088524,0.37464354867100863,249,0.39424371564449384,0.39727891156462586,234,1.3431773970883534,0.20022403651244386,249,0.2427985580326278,233
v17abl-drop_emg-mlp-w5s,7,0,,-0.31500935554504395,0.5227098346289396,0.5347410061203164,122,0.3315018315018315,0.5167025862068966,122,0.9701267930327869,0.2636516453726896,122,0.2563878924692752,122
v17abl-drop_emg-mlp-w5s,7,1,,-0.12804627418518066,0.6157971154133677,0.6246081982101719,130,0.2722652279302526,0.3030910609857978,93,1.4113431490384616,0.23691108225599242,130,0.3199461942700588,92
v17abl-drop_emg-mlp-w5s,7,2,,0.06733334064483643,0.4111734475897511,0.45022376272376274,120,0.24310134310134313,0.2612745098039216,75,1.9578125,0.2533179373274776,120,0.1866634155598444,74
v17abl-drop_emg-mlp-w5s,7,3,,-0.05833601951599121,0.39544832051921375,0.3789206855136733,147,0.2753015873015873,0.4268107121119903,115,1.2256855867346939,-0.09704936719525674,147,0.16637984442970027,115
v17abl-drop_emg-mlp-w5s,7,4,,-0.13199186325073242,0.7021342526411212,0.7392826825127334,158,0.34152334152334146,0.37675142708873893,89,1.2477378362341771,0.525804115132828,158,0.1880515715615316,88
v17abl-drop_emg-mlp-w5s,7,5,,-0.35329198837280273,0.6538910897981363,0.6792436370043408,146,0.3278063655422146,0.3516483516483517,136,0.9701813998287672,0.6385953703415599,146,0.16200395438958098,135
v17abl-drop_emg-mlp-w5s,7,6,,0.12849700450897217,0.39715676229508196,0.4265151515151515,101,0.4051457417358737,0.4078838858650833,91,1.2163907797029703,-0.1855259350043591,101,0.2317994463360972,90
v17abl-drop_emg-mlp-w5s,7,7,,-0.008957147598266602,0.33548999309868877,0.4446428571428571,117,0.3594976452119309,0.3617021276595745,95,1.1500734508547008,0.21479345546594117,117,0.19676605293012045,94
v17abl-drop_emg-mlp-w5s,7,8,,-0.22541511058807373,0.5807229909096683,0.6194860898905017,150,0.3617886178861789,0.5426829268292683,150,1.132265625,-0.22482021338570943,150,0.22035756713400284,150
v17abl-drop_emg-mlp-w5s,7,9,,0.46690863370895386,0.3794435242951003,0.37890482896203725,249,0.39468491799235417,0.39821113630637434,234,1.2941923945783131,0.31015509960299753,249,0.24923968869121546,233
v17abl-drop_ppg-lstm-w1s,1337,0,,-0.31481758544319555,0.10774193548387097,0.25,608,0.19698725376593282,0.5,608,0.9913779810855263,0.2840552270631757,608,0.24771915931073876,608
